BBH 019
UT 2022/04/12 COS/NUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
       986.36958               0.0000000                      0.0000000
       986.43547               0.0000000                      0.0000000
       986.50137               0.0000000                      0.0000000
       986.56726               0.0000000                      0.0000000
       986.63316               0.0000000                      0.0000000
       986.69905               0.0000000                      0.0000000
       986.76495               0.0000000                      0.0000000
       986.83084               0.0000000                      0.0000000
       986.89674               0.0000000                      0.0000000
       986.96263               0.0000000                      0.0000000
       987.02853               0.0000000                      0.0000000
       987.09442               0.0000000                      0.0000000
       987.16032               0.0000000                      0.0000000
       987.22621               0.0000000                      0.0000000
       987.29210               0.0000000                      0.0000000
       987.35800               0.0000000                      0.0000000
       987.42389               0.0000000                      0.0000000
       987.48979               0.0000000                      0.0000000
       987.55568               0.0000000                      0.0000000
       987.62158               0.0000000                      0.0000000
       987.68747               0.0000000                      0.0000000
       987.75337               0.0000000                      0.0000000
       987.81926               0.0000000                      0.0000000
       987.88516               0.0000000                      0.0000000
       987.95105               0.0000000                      0.0000000
       988.01695               0.0000000                      0.0000000
       988.08284               0.0000000                      0.0000000
       988.14873               0.0000000                      0.0000000
       988.21463               0.0000000                      0.0000000
       988.28052               0.0000000                      0.0000000
       988.34642               0.0000000                      0.0000000
       988.41231               0.0000000                      0.0000000
       988.47821               0.0000000                      0.0000000
       988.54410               0.0000000                      0.0000000
       988.61000               0.0000000                      0.0000000
       988.67589               0.0000000                      0.0000000
       988.74179               0.0000000                      0.0000000
       988.80768               0.0000000                      0.0000000
       988.87358               0.0000000                      0.0000000
       988.93947               0.0000000                      0.0000000
       989.00536               0.0000000                      0.0000000
       989.07126               0.0000000                      0.0000000
       989.13715               0.0000000                      0.0000000
       989.20305               0.0000000                      0.0000000
       989.26894               0.0000000                      0.0000000
       989.33484               0.0000000                      0.0000000
       989.40073               0.0000000                      0.0000000
       989.46663               0.0000000                      0.0000000
       989.53252               0.0000000                      0.0000000
       989.59842               0.0000000                      0.0000000
       989.66431               0.0000000                      0.0000000
       989.73021               0.0000000                      0.0000000
       989.79610               0.0000000                      0.0000000
       989.86200               0.0000000                      0.0000000
       989.92789               0.0000000                      0.0000000
       989.99378               0.0000000                      0.0000000
       990.05968               0.0000000                      0.0000000
       990.12557               0.0000000                      0.0000000
       990.19147               0.0000000                      0.0000000
       990.25736               0.0000000                      0.0000000
       990.32326               0.0000000                      0.0000000
       990.38915               0.0000000                      0.0000000
       990.45505               0.0000000                      0.0000000
       990.52094               0.0000000                      0.0000000
       990.58684               0.0000000                      0.0000000
       990.65273               0.0000000                      0.0000000
       990.71863               0.0000000                      0.0000000
       990.78452               0.0000000                      0.0000000
       990.85041               0.0000000                      0.0000000
       990.91631               0.0000000                      0.0000000
       990.98220               0.0000000                      0.0000000
       991.04810               0.0000000                      0.0000000
       991.11399               0.0000000                      0.0000000
       991.17989               0.0000000                      0.0000000
       991.24578               0.0000000                      0.0000000
       991.31168               0.0000000                      0.0000000
       991.37757               0.0000000                      0.0000000
       991.44347               0.0000000                      0.0000000
       991.50936               0.0000000                      0.0000000
       991.57526               0.0000000                      0.0000000
       991.64115               0.0000000                      0.0000000
       991.70704               0.0000000                      0.0000000
       991.77294               0.0000000                      0.0000000
       991.83883               0.0000000                      0.0000000
       991.90473               0.0000000                      0.0000000
       991.97062               0.0000000                      0.0000000
       992.03652               0.0000000                      0.0000000
       992.10241               0.0000000                      0.0000000
       992.16831               0.0000000                      0.0000000
       992.23420               0.0000000                      0.0000000
       992.30010               0.0000000                      0.0000000
       992.36599               0.0000000                      0.0000000
       992.43189               0.0000000                      0.0000000
       992.49778               0.0000000                      0.0000000
       992.56367               0.0000000                      0.0000000
       992.62957               0.0000000                      0.0000000
       992.69546               0.0000000                      0.0000000
       992.76136               0.0000000                      0.0000000
       992.82725               0.0000000                      0.0000000
       992.89315               0.0000000                      0.0000000
       992.95904               0.0000000                      0.0000000
       993.02494               0.0000000                      0.0000000
       993.09083               0.0000000                      0.0000000
       993.15673               0.0000000                      0.0000000
       993.22262               0.0000000                      0.0000000
       993.28852               0.0000000                      0.0000000
       993.35441               0.0000000                      0.0000000
       993.42030               0.0000000                      0.0000000
       993.48620               0.0000000                      0.0000000
       993.55209               0.0000000                      0.0000000
       993.61799               0.0000000                      0.0000000
       993.68388               0.0000000                      0.0000000
       993.74978               0.0000000                      0.0000000
       993.81567               0.0000000                      0.0000000
       993.88157               0.0000000                      0.0000000
       993.94746               0.0000000                      0.0000000
       994.01336               0.0000000                      0.0000000
       994.07925               0.0000000                      0.0000000
       994.14515               0.0000000                      0.0000000
       994.21104               0.0000000                      0.0000000
       994.27693               0.0000000                      0.0000000
       994.34283               0.0000000                      0.0000000
       994.40872               0.0000000                      0.0000000
       994.47462               0.0000000                      0.0000000
       994.54051               0.0000000                      0.0000000
       994.60641               0.0000000                      0.0000000
       994.67230               0.0000000                      0.0000000
       994.73820               0.0000000                      0.0000000
       994.80409               0.0000000                      0.0000000
       994.86999               0.0000000                      0.0000000
       994.93588               0.0000000                      0.0000000
       995.00178               0.0000000                      0.0000000
       995.06767               0.0000000                      0.0000000
       995.13357               0.0000000                      0.0000000
       995.19946               0.0000000                      0.0000000
       995.26535               0.0000000                      0.0000000
       995.33125               0.0000000                      0.0000000
       995.39714               0.0000000                      0.0000000
       995.46304               0.0000000                      0.0000000
       995.52893               0.0000000                      0.0000000
       995.59483               0.0000000                      0.0000000
       995.66072               0.0000000                      0.0000000
       995.72662               0.0000000                      0.0000000
       995.79251               0.0000000                      0.0000000
       995.85841               0.0000000                      0.0000000
       995.92430               0.0000000                      0.0000000
       995.99020               0.0000000                      0.0000000
       996.05609               0.0000000                      0.0000000
       996.12198               0.0000000                      0.0000000
       996.18788               0.0000000                      0.0000000
       996.25377               0.0000000                      0.0000000
       996.31967               0.0000000                      0.0000000
       996.38556               0.0000000                      0.0000000
       996.45146               0.0000000                      0.0000000
       996.51735               0.0000000                      0.0000000
       996.58325               0.0000000                      0.0000000
       996.64914               0.0000000                      0.0000000
       996.71504               0.0000000                      0.0000000
       996.78093               0.0000000                      0.0000000
       996.84683               0.0000000                      0.0000000
       996.91272               0.0000000                      0.0000000
       996.97861               0.0000000                      0.0000000
       997.04451               0.0000000                      0.0000000
       997.11040               0.0000000                      0.0000000
       997.17630               0.0000000                      0.0000000
       997.24219               0.0000000                      0.0000000
       997.30809               0.0000000                      0.0000000
       997.37398               0.0000000                      0.0000000
       997.43988               0.0000000                      0.0000000
       997.50577               0.0000000                      0.0000000
       997.57167               0.0000000                      0.0000000
       997.63756               0.0000000                      0.0000000
       997.70346               0.0000000                      0.0000000
       997.76935               0.0000000                      0.0000000
       997.83524               0.0000000                      0.0000000
       997.90114               0.0000000                      0.0000000
       997.96703               0.0000000                      0.0000000
       998.03293               0.0000000                      0.0000000
       998.09882               0.0000000                      0.0000000
       998.16472               0.0000000                      0.0000000
       998.23061               0.0000000                      0.0000000
       998.29651               0.0000000                      0.0000000
       998.36240               0.0000000                      0.0000000
       998.42830               0.0000000                      0.0000000
       998.49419               0.0000000                      0.0000000
       998.56009               0.0000000                      0.0000000
       998.62598               0.0000000                      0.0000000
       998.69187               0.0000000                      0.0000000
       998.75777               0.0000000                      0.0000000
       998.82366               0.0000000                      0.0000000
       998.88956               0.0000000                      0.0000000
       998.95545               0.0000000                      0.0000000
       999.02135               0.0000000                      0.0000000
       999.08724               0.0000000                      0.0000000
       999.15314               0.0000000                      0.0000000
       999.21903               0.0000000                      0.0000000
       999.28493               0.0000000                      0.0000000
       999.35082               0.0000000                      0.0000000
       999.41672               0.0000000                      0.0000000
       999.48261               0.0000000                      0.0000000
