BBH 019
UT 2022/04/12 COS/FUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
      -13.242975               0.0000000                      0.0000000
      -13.177983               0.0000000                      0.0000000
      -13.112991               0.0000000                      0.0000000
      -13.047998               0.0000000                      0.0000000
      -12.983006               0.0000000                      0.0000000
      -12.918014               0.0000000                      0.0000000
      -12.853022               0.0000000                      0.0000000
      -12.788030               0.0000000                      0.0000000
      -12.723038               0.0000000                      0.0000000
      -12.658046               0.0000000                      0.0000000
      -12.593054               0.0000000                      0.0000000
      -12.528062               0.0000000                      0.0000000
      -12.463070               0.0000000                      0.0000000
      -12.398078               0.0000000                      0.0000000
      -12.333086               0.0000000                      0.0000000
      -12.268094               0.0000000                      0.0000000
      -12.203101               0.0000000                      0.0000000
      -12.138109               0.0000000                      0.0000000
      -12.073117               0.0000000                      0.0000000
      -12.008125               0.0000000                      0.0000000
      -11.943133               0.0000000                      0.0000000
      -11.878141               0.0000000                      0.0000000
      -11.813149               0.0000000                      0.0000000
      -11.748157               0.0000000                      0.0000000
      -11.683165               0.0000000                      0.0000000
      -11.618173               0.0000000                      0.0000000
      -11.553181               0.0000000                      0.0000000
      -11.488189               0.0000000                      0.0000000
      -11.423196               0.0000000                      0.0000000
      -11.358204               0.0000000                      0.0000000
      -11.293212               0.0000000                      0.0000000
      -11.228220               0.0000000                      0.0000000
      -11.163228               0.0000000                      0.0000000
      -11.098236               0.0000000                      0.0000000
      -11.033244               0.0000000                      0.0000000
      -10.968252               0.0000000                      0.0000000
      -10.903260               0.0000000                      0.0000000
      -10.838268               0.0000000                      0.0000000
      -10.773276               0.0000000                      0.0000000
      -10.708284               0.0000000                      0.0000000
      -10.643292               0.0000000                      0.0000000
      -10.578299               0.0000000                      0.0000000
      -10.513307               0.0000000                      0.0000000
      -10.448315               0.0000000                      0.0000000
      -10.383323               0.0000000                      0.0000000
      -10.318331               0.0000000                      0.0000000
      -10.253339               0.0000000                      0.0000000
      -10.188347               0.0000000                      0.0000000
      -10.123355               0.0000000                      0.0000000
      -10.058363               0.0000000                      0.0000000
      -9.9933707               0.0000000                      0.0000000
      -9.9283786               0.0000000                      0.0000000
      -9.8633866               0.0000000                      0.0000000
      -9.7983945               0.0000000                      0.0000000
      -9.7334024               0.0000000                      0.0000000
      -9.6684103               0.0000000                      0.0000000
      -9.6034182               0.0000000                      0.0000000
      -9.5384262               0.0000000                      0.0000000
      -9.4734341               0.0000000                      0.0000000
      -9.4084420               0.0000000                      0.0000000
      -9.3434499               0.0000000                      0.0000000
      -9.2784578               0.0000000                      0.0000000
      -9.2134658               0.0000000                      0.0000000
      -9.1484737               0.0000000                      0.0000000
      -9.0834816               0.0000000                      0.0000000
      -9.0184895               0.0000000                      0.0000000
      -8.9534974               0.0000000                      0.0000000
      -8.8885054               0.0000000                      0.0000000
      -8.8235133               0.0000000                      0.0000000
      -8.7585212               0.0000000                      0.0000000
      -8.6935291               0.0000000                      0.0000000
      -8.6285370               0.0000000                      0.0000000
      -8.5635450               0.0000000                      0.0000000
      -8.4985529               0.0000000                      0.0000000
      -8.4335608               0.0000000                      0.0000000
      -8.3685687               0.0000000                      0.0000000
      -8.3035766               0.0000000                      0.0000000
      -8.2385846               0.0000000                      0.0000000
      -8.1735925               0.0000000                      0.0000000
      -8.1086004               0.0000000                      0.0000000
      -8.0436083               0.0000000                      0.0000000
      -7.9786162               0.0000000                      0.0000000
      -7.9136242               0.0000000                      0.0000000
      -7.8486321               0.0000000                      0.0000000
      -7.7836400               0.0000000                      0.0000000
      -7.7186479               0.0000000                      0.0000000
      -7.6536558               0.0000000                      0.0000000
      -7.5886638               0.0000000                      0.0000000
      -7.5236717               0.0000000                      0.0000000
      -7.4586796               0.0000000                      0.0000000
      -7.3936875               0.0000000                      0.0000000
      -7.3286954               0.0000000                      0.0000000
      -7.2637034               0.0000000                      0.0000000
      -7.1987113               0.0000000                      0.0000000
      -7.1337192               0.0000000                      0.0000000
      -7.0687271               0.0000000                      0.0000000
      -7.0037350               0.0000000                      0.0000000
      -6.9387430               0.0000000                      0.0000000
